,PriceDelay,DataUsage,Size,Lev,ROA,TobinQ,FinAsset,DataAsset,SOE,Analyst,InstHold,Amihud
PriceDelay,1.0,-0.0681,-0.0097,-0.0025,-0.054,0.1601,0.0361,,-0.0691,-0.1174,-0.0197,0.0361
DataUsage,-0.0681,1.0,0.0945,-0.047,-0.0656,0.0786,0.058,,-0.1235,0.1294,-0.1431,-0.1449
Size,-0.0097,0.0945,1.0,0.1015,0.2775,0.2017,0.0155,,0.1776,0.6474,0.4395,-0.5697
Lev,-0.0025,-0.047,0.1015,1.0,-0.35,-0.2585,-0.2187,,0.2104,0.0562,0.1641,-0.0768
ROA,-0.054,-0.0656,0.2775,-0.35,1.0,0.1477,0.0789,,-0.0121,0.251,0.1205,-0.1068
TobinQ,0.1601,0.0786,0.2017,-0.2585,0.1477,1.0,0.1124,,-0.1597,0.0939,-0.029,-0.111
FinAsset,0.0361,0.058,0.0155,-0.2187,0.0789,0.1124,1.0,,-0.0693,-0.0596,-0.0361,-0.0131
DataAsset,,,,,,,,,,,,
SOE,-0.0691,-0.1235,0.1776,0.2104,-0.0121,-0.1597,-0.0693,,1.0,-0.0102,0.4287,-0.0887
Analyst,-0.1174,0.1294,0.6474,0.0562,0.251,0.0939,-0.0596,,-0.0102,1.0,0.2073,-0.4144
InstHold,-0.0197,-0.1431,0.4395,0.1641,0.1205,-0.029,-0.0361,,0.4287,0.2073,1.0,-0.106
Amihud,0.0361,-0.1449,-0.5697,-0.0768,-0.1068,-0.111,-0.0131,,-0.0887,-0.4144,-0.106,1.0
