Design,BaseYear,Year,Coef,SE,t,p,N
Binary_2017-2021,2022,2017,0.009055218679941867,0.007047934930342725,1.2848045235147385,0.19951572359361647,27890
Binary_2017-2021,2022,2018,0.000967712475235423,0.005742004331622919,0.16853217436739706,0.8662396893068602,27890
Binary_2017-2021,2022,2019,-0.004374908243305111,0.006251728329712197,-0.6997918035741827,0.4844157391833983,27890
Binary_2017-2021,2022,2020,-0.006055137614577392,0.008321324399883041,-0.7276651316060336,0.46719369256226706,27890
Binary_2017-2021,2022,2021,-0.01884433880019467,0.007689825629252728,-2.4505547601117583,0.01463994094141885,27890
Binary_2017-2021,2022,2023,-0.01156243023413431,0.0048713717220926515,-2.3735471020814036,0.018033405788269175,27890
Binary_2017-2021,2022,2024,0.013394901135467588,0.005154975589448374,2.598441234694761,0.009669376273709451,27890
Continuous_2017-2021,2022,2017,0.0013514663246408808,0.0025206825861781175,0.5361509346918553,0.5921168256395157,27890
Continuous_2017-2021,2022,2018,0.0006269014873614471,0.0020127317051669255,0.31146798440751705,0.755587850973628,27890
Continuous_2017-2021,2022,2019,-0.005219732219113108,0.0023540127689675944,-2.2173763404870312,0.027091872772044612,27890
Continuous_2017-2021,2022,2020,-0.006460847167848041,0.0031747239331445117,-2.0350894452257706,0.042422242052465586,27890
Continuous_2017-2021,2022,2021,-0.006509819591620445,0.0029938904454303167,-2.174368003864877,0.030193248899782477,27890
Continuous_2017-2021,2022,2023,-0.007377773794721352,0.001633232859985527,-4.517282241545599,7.996707873658693e-06,27890
Continuous_2017-2021,2022,2024,0.0049312978025574964,0.0017493292859323782,2.818964869686701,0.005028502984194327,27890
