Group,Coef,SE,t,p,Sig,N,R2
国企,-0.005429115745669931,0.00236505826469174,-2.295552641016038,0.02198766440243549,**,13162,0.4135266132699348
民企,-0.0028575145051232343,0.0012070205249980657,-2.367411693457171,0.01816792058582939,**,25378,0.42841949113797495
大企业(T),-0.004048798391087218,0.0023809807431864824,-1.7004750679624079,0.08949816731749505,*,12457,0.42138944973553516
小企业(T),-0.0012031944306154453,0.0013196287540344562,-0.9117673640688412,0.36222561179301405,,12293,0.5111402265215454
大企业(M),-0.003308607859881741,0.0022229141328678377,-1.488410105887996,0.13707109835117293,,18885,0.42241615711180713
小企业(M),-0.004789678283066386,0.001043517935068262,-4.589933840239236,5.212617242733586e-06,***,18895,0.4788058533902366
高分析师,-0.004609758796821996,0.0011284333280525034,-4.085096285464829,4.878910067129816e-05,***,19368,0.4177833347109686
低分析师,-0.0024280527695064585,0.0019043708205008381,-1.2749894838589761,0.20272366489149962,,18728,0.47115299858938875
高约束,-0.0033553927455326235,0.001947919446742288,-1.7225521061172229,0.0853705644608036,*,19328,0.4271186840428155
低约束,-0.002968305618134941,0.001010167610321571,-2.9384288189462215,0.0034009755857893342,***,19076,0.46182908522496624
高科技,-0.003976222369587509,0.0013440204575752583,-2.9584537550574157,0.00458132745177986,***,8074,0.4503308498370414
传统,-0.0038246504128076524,0.0018541325734186265,-2.062770735835685,0.039476795924643815,**,30278,0.43795754323127456
