Portfolio,Model,alpha,t,p,N
Q1,CAPM,0.002474612960737519,0.80837997145564,0.4201188946728718,156
Q1,FF3,-0.0028490404564942874,-2.0819650961664173,0.03902171908430363,156
Q1,FF5,-0.0053410236274457025,-3.149206464554106,0.001976073979891746,156
Q1,FF5+MOM,-0.006359970495164149,-3.8084277059315133,0.00020389071250925817,156
Q2,CAPM,0.0026698093100237866,0.8364681299955001,0.40418765949328206,156
Q2,FF3,-0.0017231716210771295,-1.5785424286481509,0.11651989791345985,156
Q2,FF5,-0.004696164097196187,-3.1069596399340274,0.0022613117448377906,156
Q2,FF5+MOM,-0.005474264011610709,-3.642328603709089,0.00037225620113634506,156
Q3,CAPM,0.0036786181870028297,1.1605298736445238,0.24762902763717642,156
Q3,FF3,-0.00037159033483475436,-0.4320264519433746,0.6663344236743316,156
Q3,FF5,-0.003922018461055323,-3.063172568750731,0.0025967885760358467,156
Q3,FF5+MOM,-0.004389761474487055,-3.403025328580794,0.0008561116480108044,156
Q4,CAPM,0.004528134072486447,1.2338343100200027,0.21914435510081653,156
Q4,FF3,0.0008399636709341231,0.8142135635565334,0.41679636704319445,156
Q4,FF5,-0.0031168153261866833,-2.2036757135340395,0.02907152790404055,156
Q4,FF5+MOM,-0.0033235916816394154,-2.307101304528728,0.022426599901150812,156
Q5,CAPM,0.005396471084391925,1.0382797644192072,0.3007672900258538,156
Q5,FF3,0.0008917616088331313,0.379564928717428,0.7047981676553605,156
Q5,FF5,-0.003937964344532016,-1.5778364681801162,0.11670977497696589,156
Q5,FF5+MOM,-0.004083733487471852,-1.6036880104704885,0.11090049483065734,156
DAT,CAPM,0.0029218581236544073,0.7699445938634769,0.44251220748950804,156
DAT,FF3,0.0037408020653274285,1.1684573872081303,0.24445166705437127,156
DAT,FF5,0.0014030592829136945,0.441892740877001,0.659203238882073,156
DAT,FF5+MOM,0.0022762370076922995,0.7075583899723369,0.4803247910768005,156
