feature,mean_abs_shap,mean_shap,label
Analyst,0.020637483437578732,0.006388286190490627,分析师覆盖
Age,0.016505756360743508,-0.004401983792484676,上市年限
TobinQ,0.014227189991737216,-0.0015038859920858722,Tobin Q
Growth,0.010329944387706208,-0.004057760022793505,营收增长率
ROA,0.008307113799944123,0.0026060447415870215,资产收益率
Size,0.006317814396438767,0.000744979392096321,企业规模
SOE,0.005839483322479084,0.0011879543417417766,国企
Lev,0.004812582897598562,-0.00010876765566618024,资产负债率
Amihud,0.004697787447849073,0.001115116776510895,Amihud非流动性
InstHold,0.003981048712952514,0.0005562490720466873,机构持股
kw_data_app_p10k,0.003718385578974139,-0.00010963770542500596,数据驱动应用
kw_data_stock_p10k,0.0033125655036984336,0.000657243142734249,数据存量
kw_data_dev_p10k,0.0028639452665144356,0.0016163037794905996,数据开发能力
kw_data_gov_p10k,0.002589261459660572,0.0013809593597287324,数据治理
Top1Share,0.002430033910182716,0.00017606096247781936,第一大股东
BoardSize,0.0012720793057037726,0.0003134014047110813,董事会规模
IndepRatio,0.0012063517881793708,-2.2194105468839145e-05,独董比例
AuditType,0.0010306593667503484,-0.0002038298560608139,标准审计意见
kw_data_value_p10k,0.0005793372137927829,0.00035958609054520584,数据价值变现
Dual,0.00010660426630363839,1.1790008249742603e-05,两职合一
